,date,TROW_PRC,TROW_VOL,TROW_BID,TROW_ASK,CMA_PRC,CMA_VOL,CMA_BID,CMA_ASK,BEN_PRC,BEN_VOL,BEN_BID,BEN_ASK,WFC_PRC,WFC_VOL,WFC_BID,WFC_ASK,JPM_PRC,JPM_VOL,JPM_BID,JPM_ASK,BK_PRC,BK_VOL,BK_BID,BK_ASK,NTRS_PRC,NTRS_VOL,NTRS_BID,NTRS_ASK,AXP_PRC,AXP_VOL,AXP_BID,AXP_ASK,BAC_PRC,BAC_VOL,BAC_BID,BAC_ASK,USB_PRC,USB_VOL,USB_BID,USB_ASK,MS_PRC,MS_VOL,MS_BID,MS_ASK,RJF_PRC,RJF_VOL,RJF_BID,RJF_ASK,C_PRC,C_VOL,C_BID,C_ASK,STT_PRC,STT_VOL,STT_BID,STT_ASK,SCHW_PRC,SCHW_VOL,SCHW_BID,SCHW_ASK,COF_PRC,COF_VOL,COF_BID,COF_ASK,IVZ_PRC,IVZ_VOL,IVZ_BID,IVZ_ASK,ETFC_PRC,ETFC_VOL,ETFC_BID,ETFC_ASK,AMG_PRC,AMG_VOL,AMG_BID,AMG_ASK,GS_PRC,GS_VOL,GS_BID,GS_ASK,BLK_PRC,BLK_VOL,BLK_BID,BLK_ASK,AMP_PRC,AMP_VOL,AMP_BID,AMP_ASK,DFS_PRC,DFS_VOL,DFS_BID,DFS_ASK
0,2008-01-02,58.81,1761583.0,58.84,58.88,42.75,2804300.0,42.79,42.83,113.69,1528200.0,113.7,113.82,29.1,24387700.0,29.1,29.12,42.17,22125600.0,42.18,42.19,47.13,7066300.0,47.14,47.18,74.06,1665154.0,74.06,74.17,51.04,8053600.0,51.01,51.02,40.56,30767900.0,40.56,40.58,31.18,10623900.0,31.22,31.23,50.95,17625100.0,50.95,50.96,31.96,811600.0,31.93,31.96,28.92,62146400.0,28.92,28.94,78.88,2643600.0,78.92,78.99,24.58,12670106.0,24.59,24.61,47.35,5649000.0,47.35,47.37,30.4,2560200.0,30.4,30.49,3.43,20610015.0,3.42,3.43,112.32,643900.0,112.32,112.42,207.60001,9575500.0,207.47,207.69,215.31,218500.0,215.31,215.35001,55.5,2222200.0,55.37,55.42,14.9,4215200.0,14.9,14.92
1,2008-01-03,58.94,1235798.0,58.93,58.94,41.4,2047400.0,41.42,41.44,111.32,1270700.0,111.19,111.22,28.52,26313000.0,28.51,28.54,41.88,17151700.0,41.85,41.86,49.17,7169300.0,49.13,49.16,76.06,2660939.0,76.06,76.07,50.41,7753500.0,50.33,50.37,40.3,22589500.0,40.28,40.31,30.33,13997100.0,30.32,30.33,50.94,11422200.0,50.88,50.91,31.35,706700.0,31.36,31.39,28.93,59657900.0,28.9,28.91,85.37,11042900.0,85.35,85.51,24.78,6936282.0,24.76,24.79,46.67,3513200.0,46.6,46.69,30.66,3548900.0,30.55,30.64,3.38,16169934.0,3.37,3.38,110.5,530700.0,110.5,110.6,204.84,7753600.0,204.53,204.66,225.8,824100.0,225.66,225.75,54.92,1314200.0,54.81,54.85,14.83,4608900.0,14.81,14.82
2,2008-01-04,55.03,2560855.0,54.99,55.03,39.92,2268600.0,39.94,39.98,106.75,2149400.0,106.75,106.84,27.49,50819100.0,27.47,27.49,40.93,25873800.0,40.91,40.93,48.15,6693900.0,48.03,48.16,73.16,2272396.0,73.16,73.23,49.14,8501500.0,49.09,49.12,39.85,34924100.0,39.85,39.88,29.44,14328800.0,29.42,29.44,49.3,14449200.0,49.32,49.35,29.76,1469100.0,29.78,29.82,28.24,75454200.0,28.25,28.27,81.82,7661900.0,81.66,81.69,23.95,7981988.0,23.88,23.89,45.97,5576400.0,46.0,46.02,28.88,5337000.0,28.84,28.94,3.23,24599592.0,3.22,3.23,106.43,671600.0,105.89,106.96,199.92999,10158900.0,200.07001,200.21001,210.98,659900.0,210.61,210.87,53.65,2615400.0,53.68,53.72,13.94,4191000.0,13.91,13.93
3,2008-01-07,54.24,3398319.0,54.16,54.25,40.55,2238200.0,40.57,40.62,108.46,2228400.0,108.47,110.14,27.68,25887100.0,27.7,27.74,41.34,25650600.0,41.31,41.33,48.81,6205500.0,48.85,48.9,73.63,1754861.0,73.59,73.77,49.36,14031000.0,49.38,49.52,39.9,31885100.0,39.9,39.93,29.71,12090200.0,29.73,29.76,48.31,18767500.0,48.39,48.41,29.9,1497300.0,29.89,29.9,28.26,68922100.0,28.28,28.29,82.39,5477500.0,82.4,82.48,24.44,9960944.0,24.43,24.45,46.85,6275200.0,46.84,46.86,28.74,3666200.0,28.26,28.73,2.83,43079280.0,2.81,2.82,105.81,760600.0,105.58,105.78,194.73,16044300.0,194.87,194.99001,206.7,844600.0,205.56,206.47,53.54,2563200.0,53.46,53.55,14.38,4056600.0,14.36,14.38
4,2008-01-08,51.32,3074303.0,51.26,51.32,38.97,2541400.0,38.9,38.95,103.23,2315400.0,102.94,103.03,26.5,41501400.0,26.42,26.45,39.7,33647800.0,39.53,39.6,47.0,9146800.0,46.94,47.06,71.15,2279699.0,71.04,71.1,47.95,11721700.0,47.81,47.87,38.41,42147300.0,38.33,38.39,28.44,16178100.0,28.36,28.41,46.4,22468400.0,46.24,46.25,28.92,1545500.0,28.83,28.88,27.14,99989400.0,27.1,27.11,81.37,6377100.0,81.32,81.45,22.72,13573106.0,22.72,22.73,43.19,10128900.0,43.05,43.06,26.95,6396700.0,26.89,26.92,2.25,86187511.0,2.24,2.25,101.37,1358500.0,101.41,101.57,189.5,13556200.0,189.33,189.3,201.13,560300.0,201.16,201.64999,51.69,2591800.0,51.62,51.75,13.6,4379000.0,13.55,13.56
5,2008-01-09,50.41,5478842.0,50.39,50.41,40.49,3040500.0,40.43,40.44,101.97,3337200.0,101.98,102.0,27.04,37299000.0,27.05,27.1,40.26,33546800.0,40.31,40.33,47.79,9731800.0,47.85,47.88,72.99,3815145.0,72.99,73.0,49.08,10971900.0,49.04,49.06,38.74,44277400.0,38.75,38.78,29.02,18579400.0,28.99,29.0,47.73,20061900.0,47.76,47.78,29.06,1711300.0,29.06,29.09,27.49,107827600.0,27.55,27.56,83.93,5440900.0,83.87,83.93,22.7,23305388.0,22.69,22.7,43.35,10746800.0,43.36,43.37,26.87,5074700.0,26.7,26.81,2.4,69676815.0,2.39,2.4,103.78,947300.0,103.98,103.99,191.75,15905400.0,191.72,191.75999,199.78,599300.0,199.45,199.59,51.35,3334300.0,51.24,51.26,14.18,5481500.0,14.19,14.2
6,2008-01-10,52.37,4088189.0,52.34,52.4,41.92,4179600.0,41.85,41.88,105.96,2322300.0,105.95,105.96,27.91,44366900.0,27.91,27.93,41.33,41864300.0,41.28,41.3,47.53,10608200.0,47.48,47.5,74.6,2991465.0,74.6,74.66,48.92,18732300.0,48.85,48.9,39.3,60538700.0,39.29,39.36,29.97,16080300.0,29.95,29.98,48.41,20271200.0,48.42,48.49,29.7,1651900.0,29.7,29.74,28.11,105595300.0,28.09,28.11,83.35,5760700.0,83.19,83.23,23.76,12093958.0,23.73,23.75,42.92,26997600.0,42.92,42.94,27.84,3889000.0,27.78,27.8,2.93,97217714.0,2.93,2.94,107.0,647100.0,106.77,106.78,196.91,14830500.0,196.7,196.7,208.83,1560900.0,208.45,208.81,53.99,3328500.0,53.98,53.99,14.26,8706700.0,14.26,14.27
7,2008-01-11,52.06,3287676.0,52.03,52.05,42.38,3421300.0,42.3,42.41,102.0,2537900.0,101.91,102.0,28.2,32925700.0,28.17,28.18,40.86,37520400.0,40.84,40.85,46.5,8732600.0,46.46,46.55,74.15,1836873.0,74.15,74.17,44.0,57228700.0,43.89,43.91,38.5,79123600.0,38.46,38.48,29.85,11374800.0,29.83,29.84,48.39,15874500.0,48.47,48.52,29.39,1272600.0,29.4,29.44,28.56,88946200.0,28.57,28.6,82.8,5639500.0,82.87,82.92,22.55,12079500.0,22.48,22.47,42.59,13291000.0,42.63,42.64,27.42,1940800.0,27.37,27.42,3.08,63112955.0,3.09,3.1,101.76,1130400.0,101.75,101.86,198.74001,12401600.0,199.2,199.33,204.06,303600.0,203.50999,203.74001,53.58,1995800.0,53.54,53.57,13.73,9056900.0,13.7,13.73
8,2008-01-14,53.08,1731792.0,53.0,53.09,41.63,2387800.0,41.69,41.7,101.5,1641900.0,101.46,101.5,28.21,22667200.0,28.18,28.2,41.36,22816900.0,41.36,41.37,47.13,8608800.0,47.08,47.1,74.0,2221373.0,73.99,74.0,44.5,18555000.0,44.55,44.57,39.22,37064600.0,39.17,39.22,30.32,11151700.0,30.35,30.37,48.9,10954300.0,48.94,48.97,29.72,1054200.0,29.72,29.73,29.06,94315200.0,29.03,29.04,84.86,5316400.0,85.03,85.07,23.18,9335999.0,23.18,23.19,43.07,7564900.0,43.14,43.13,27.77,1273700.0,27.79,27.82,3.24,33483286.0,3.24,3.25,102.03,536000.0,101.88,101.95,201.64999,9401000.0,201.87,201.94,208.39999,367400.0,208.07001,208.22,56.08,2990000.0,56.17,56.21,13.56,6970500.0,13.58,13.59
9,2008-01-15,49.85,3198270.0,49.82,49.83,39.99,2423300.0,40.03,40.1,98.07,2737900.0,98.06,98.08,26.49,36286900.0,26.51,26.53,39.17,45254800.0,39.05,39.05,45.0,10117400.0,44.99,45.01,69.78,3033164.0,69.76,69.78,42.77,16956800.0,42.78,42.8,37.88,42564300.0,37.83,37.84,30.42,17306900.0,30.35,30.37,47.13,12449100.0,47.03,47.06,28.22,1887700.0,28.25,28.32,26.94,220875100.0,26.86,26.87,79.82,8211800.0,79.89,80.01,22.46,9318316.0,22.46,22.47,42.0,12997300.0,42.0,42.01,26.29,3032300.0,26.34,26.36,2.92,35688743.0,2.92,2.93,96.92,1347600.0,96.63,96.7,193.28999,11299000.0,192.83,192.92999,202.36,486400.0,202.25,202.37,53.42,1974600.0,53.46,53.47,13.2,10260400.0,13.21,13.22
